uid,variant_number,active_mins,dt,avg_active_mins
40000,1,25.0,3,8.333333333333334
40001,1,299.0,32,9.34375
40002,1,183.0,26,7.038461538461538
40004,1,56.0,9,6.222222222222222
40005,1,289.0,36,8.027777777777779
40006,1,194.0,36,5.388888888888889
40007,1,75.0,15,5.0
40008,1,305.0,34,8.970588235294118
40009,1,275.0,28,9.821428571428571
40010,1,21.0,5,4.2
40011,1,153.0,12,12.75
40012,1,178.0,21,8.476190476190476
40013,1,253.0,37,6.837837837837838
40014,1,13.0,5,2.6
40015,1,2.0,1,2.0
40016,1,628.0,30,20.933333333333334
40017,1,26.0,5,5.2
40018,1,85.0,9,9.444444444444445
40019,1,324.0,31,10.451612903225806
40020,1,362.0,39,9.282051282051283
40021,1,152.0,23,6.608695652173913
40022,1,444.0,47,9.446808510638299
40023,1,30.0,4,7.5
40024,1,164.0,16,10.25
40025,1,278.0,15,18.533333333333335
40026,1,38.0,7,5.428571428571429
40027,1,5.0,1,5.0
40028,1,25.0,7,3.5714285714285716
40029,1,345.0,32,10.78125
40030,1,21.0,5,4.2
40031,1,2.0,1,2.0
40032,1,19.0,6,3.1666666666666665
40033,1,332.0,21,15.80952380952381
40034,1,103.0,17,6.0588235294117645
40035,1,2.0,1,2.0
40036,1,23.0,8,2.875
40037,1,536.0,43,12.465116279069768
40038,1,35.0,10,3.5
40039,1,108.0,25,4.32
40041,1,43.0,2,21.5
40042,1,3.0,2,1.5
40043,1,141.0,12,11.75
40044,1,57.0,16,3.5625
40045,1,59.0,12,4.916666666666667
40046,1,44.0,11,4.0
40047,1,137.0,26,5.269230769230769
40048,1,2.0,2,1.0
40049,1,84.0,17,4.9411764705882355
40050,1,114.0,14,8.142857142857142
40051,1,947.0,71,13.338028169014084
40052,1,88.0,17,5.176470588235294
40053,1,287.0,43,6.674418604651163
40054,1,75.0,14,5.357142857142857
40056,1,124.0,15,8.266666666666667
40057,1,445.0,31,14.35483870967742
40058,1,220.0,32,6.875
40059,1,226.0,31,7.290322580645161
40060,1,3.0,1,3.0
40061,1,7.0,2,3.5
40062,1,81.0,13,6.230769230769231
40063,1,10.0,2,5.0
40064,1,53.0,3,17.666666666666668
40065,1,101.0,16,6.3125
40066,1,51.0,14,3.642857142857143
40068,1,522.0,56,9.321428571428571
40069,1,67.0,10,6.7
40070,1,81.0,21,3.857142857142857
40071,1,9.0,1,9.0
40072,1,343.0,41,8.365853658536585
40073,1,381.0,56,6.803571428571429
40074,1,186.0,20,9.3
40075,1,47.0,8,5.875
40076,1,440.0,31,14.193548387096774
40077,1,109.0,26,4.1923076923076925
40078,1,62.0,20,3.1
40079,1,9.0,4,2.25
40080,1,5.0,3,1.6666666666666667
40081,1,14.0,5,2.8
40082,1,1.0,1,1.0
40083,1,27.0,7,3.857142857142857
40084,1,130.0,16,8.125
40085,1,43.0,6,7.166666666666667
40087,1,273.0,32,8.53125
40088,1,8.0,2,4.0
40090,1,706.0,36,19.61111111111111
40091,1,55.0,6,9.166666666666666
40092,1,447.0,45,9.933333333333334
40093,1,1097.0,60,18.283333333333335
40094,1,32.0,2,16.0
40096,1,17.0,7,2.4285714285714284
40097,1,676.0,47,14.382978723404255
40098,1,21.0,7,3.0
40099,1,16.0,6,2.6666666666666665
40100,1,4.0,1,4.0
40101,1,82.0,14,5.857142857142857
40102,1,84.0,6,14.0
40103,1,78.0,10,7.8
40104,1,204.0,31,6.580645161290323
40105,1,30.0,8,3.75
40106,1,64.0,9,7.111111111111111
40107,1,35.0,6,5.833333333333333
40108,1,39.0,7,5.571428571428571
40109,1,200.0,32,6.25
40110,1,646.0,38,17.0
40111,1,22.0,7,3.142857142857143
40112,1,35.0,4,8.75
40113,1,36.0,5,7.2
40114,1,78.0,10,7.8
40115,1,504.0,61,8.262295081967213
40116,1,35.0,9,3.888888888888889
40117,1,153.0,29,5.275862068965517
40118,1,186.0,11,16.90909090909091
40119,1,13.0,3,4.333333333333333
40120,1,31.0,12,2.5833333333333335
40121,1,2.0,1,2.0
40122,1,5.0,1,5.0
40123,1,16.0,5,3.2
40124,1,173.0,17,10.176470588235293
40125,1,71.0,10,7.1
40126,1,20.0,5,4.0
40127,1,10.0,5,2.0
40128,1,194.0,22,8.818181818181818
40129,1,10.0,4,2.5
40130,1,3.0,1,3.0
40132,1,9.0,3,3.0
40133,1,22.0,6,3.6666666666666665
40134,1,252.0,30,8.4
40135,1,102.0,21,4.857142857142857
40136,1,2.0,1,2.0
40137,1,7.0,2,3.5
40138,1,148.0,17,8.705882352941176
40139,1,2.0,1,2.0
40140,1,36.0,12,3.0
40141,1,1.0,1,1.0
40142,1,258.0,19,13.578947368421053
40143,1,183.0,18,10.166666666666666
40145,1,10.0,3,3.3333333333333335
40146,1,68.0,22,3.090909090909091
40147,1,97.0,20,4.85
40148,1,17.0,4,4.25
40149,1,166.0,12,13.833333333333334
40150,1,113.0,18,6.277777777777778
40151,1,10.0,4,2.5
40153,1,8.0,2,4.0
40154,1,92.0,19,4.842105263157895
40155,1,253.0,29,8.724137931034482
40156,1,59.0,9,6.555555555555555
40157,1,115.0,23,5.0
40158,1,8.0,6,1.3333333333333333
40159,1,36.0,9,4.0
40160,1,178.0,31,5.741935483870968
40161,1,6.0,1,6.0
40162,1,90.0,23,3.9130434782608696
40163,1,172.0,42,4.095238095238095
40164,1,5.0,2,2.5
40165,1,220.0,24,9.166666666666666
40167,1,135.0,22,6.136363636363637
40168,1,40.0,8,5.0
40169,1,57.0,14,4.071428571428571
40170,1,23.0,3,7.666666666666667
40171,1,58.0,11,5.2727272727272725
40172,1,62.0,9,6.888888888888889
40173,1,27.0,3,9.0
40174,1,245.0,32,7.65625
40175,1,261.0,41,6.365853658536586
40176,1,49.0,11,4.454545454545454
40177,1,74.0,15,4.933333333333334
40178,1,43.0,7,6.142857142857143
40179,1,92.0,15,6.133333333333334
40180,1,132.0,20,6.6
40181,1,38.0,12,3.1666666666666665
40182,1,206.0,36,5.722222222222222
40183,1,308.0,26,11.846153846153847
40184,1,46.0,10,4.6
40185,1,5.0,2,2.5
40186,1,100.0,13,7.6923076923076925
40187,1,5.0,3,1.6666666666666667
40188,1,861.0,79,10.89873417721519
40189,1,20.0,7,2.857142857142857
40190,1,140.0,10,14.0
40191,1,19.0,2,9.5
40192,1,307.0,23,13.347826086956522
40193,1,26.0,10,2.6
40194,1,332.0,43,7.72093023255814
40195,1,456.0,31,14.709677419354838
40196,1,39.0,9,4.333333333333333
40197,1,33.0,2,16.5
40198,1,209.0,32,6.53125
40199,1,120.0,14,8.571428571428571
40200,1,20.0,5,4.0
40201,1,10.0,3,3.3333333333333335
40203,1,26.0,10,2.6
40204,1,14.0,5,2.8
40205,1,245.0,21,11.666666666666666
40206,1,5.0,2,2.5
40207,1,140.0,17,8.235294117647058
40208,1,56.0,12,4.666666666666667
40209,1,1.0,1,1.0
40210,1,91.0,16,5.6875
40211,1,732.0,33,22.181818181818183
40212,1,25.0,7,3.5714285714285716
40214,1,6.0,5,1.2
40215,1,124.0,19,6.526315789473684
40216,1,46.0,4,11.5
40217,1,101.0,19,5.315789473684211
40218,1,31.0,6,5.166666666666667
40219,1,53.0,10,5.3
40220,1,27.0,7,3.857142857142857
40221,1,195.0,47,4.148936170212766
40222,1,70.0,9,7.777777777777778
40224,1,36.0,13,2.769230769230769
40225,1,396.0,20,19.8
40226,1,73.0,6,12.166666666666666
40227,1,36.0,8,4.5
40228,1,26.0,6,4.333333333333333
40229,1,44.0,10,4.4
40230,1,133.0,15,8.866666666666667
40231,1,114.0,14,8.142857142857142
40233,1,79.0,7,11.285714285714286
40234,1,16.0,5,3.2
40235,1,91.0,11,8.272727272727273
40236,1,5.0,2,2.5
40237,1,36.0,9,4.0
40238,1,124.0,18,6.888888888888889
40239,1,38.0,5,7.6
40240,1,72.0,14,5.142857142857143
40242,1,173.0,19,9.105263157894736
40243,1,49.0,2,24.5
40244,1,98.0,21,4.666666666666667
40245,1,399.0,22,18.136363636363637
40246,1,53.0,11,4.818181818181818
40247,1,13.0,4,3.25
40248,1,134.0,33,4.0606060606060606
40249,1,235.0,28,8.392857142857142
40250,1,175.0,25,7.0
40251,1,902.0,43,20.976744186046513
40252,1,68.0,12,5.666666666666667
40253,1,174.0,32,5.4375
40254,1,150.0,18,8.333333333333334
40255,1,460.0,26,17.692307692307693
40256,1,504.0,49,10.285714285714286
40257,1,47.0,10,4.7
40258,1,202.0,26,7.769230769230769
40259,1,80.0,14,5.714285714285714
40260,1,307.0,35,8.771428571428572
40262,1,253.0,32,7.90625
40263,1,67.0,11,6.090909090909091
40264,1,93.0,13,7.153846153846154
40265,1,86.0,29,2.9655172413793105
40266,1,25.0,5,5.0
40267,1,448.0,41,10.926829268292684
40268,1,14.0,3,4.666666666666667
40269,1,56.0,7,8.0
40270,1,82.0,18,4.555555555555555
40271,1,31.0,5,6.2
40272,1,22.0,8,2.75
40273,1,419.0,36,11.63888888888889
40274,1,25.0,4,6.25
40275,1,133.0,21,6.333333333333333
40276,1,380.0,24,15.833333333333334
40277,1,14.0,3,4.666666666666667
40278,1,64.0,9,7.111111111111111
40279,1,576.0,47,12.25531914893617
40280,1,85.0,9,9.444444444444445
40281,1,268.0,32,8.375
40282,1,62.0,11,5.636363636363637
40283,1,67.0,16,4.1875
40284,1,417.0,45,9.266666666666667
40285,1,10.0,1,10.0
40287,1,98.0,12,8.166666666666666
40288,1,43.0,4,10.75
40289,1,166.0,40,4.15
40290,1,117.0,16,7.3125
40291,1,141.0,25,5.64
40292,1,251.0,27,9.296296296296296
40293,1,132.0,20,6.6
40294,1,26.0,6,4.333333333333333
40296,1,32.0,9,3.5555555555555554
40298,1,240.0,28,8.571428571428571
40299,1,19.0,3,6.333333333333333
40300,1,22.0,9,2.4444444444444446
40301,1,108.0,19,5.684210526315789
40302,1,73.0,15,4.866666666666666
40303,1,28.0,11,2.5454545454545454
40304,1,181.0,30,6.033333333333333
40305,1,10.0,2,5.0
40306,1,550.0,73,7.534246575342466
40307,1,10.0,2,5.0
40308,1,17.0,2,8.5
40309,1,3.0,1,3.0
40310,1,74.0,13,5.6923076923076925
40311,1,8.0,1,8.0
40312,1,74.0,10,7.4
40313,1,99.0,17,5.823529411764706
40314,1,4.0,1,4.0
40316,1,183.0,36,5.083333333333333
40317,1,21.0,2,10.5
40318,1,173.0,24,7.208333333333333
40319,1,28.0,10,2.8
40320,1,68.0,17,4.0
40322,1,64.0,14,4.571428571428571
40323,1,5.0,2,2.5
40325,1,159.0,18,8.833333333333334
40326,1,55.0,8,6.875
40327,1,717.0,45,15.933333333333334
40328,1,5.0,1,5.0
40329,1,13.0,5,2.6
40330,1,405.0,24,16.875
40331,1,361.0,57,6.333333333333333
40332,1,20.0,3,6.666666666666667
40333,1,18.0,5,3.6
40334,1,5.0,1,5.0
40336,1,21.0,5,4.2
40337,1,127.0,20,6.35
40338,1,105.0,8,13.125
40340,1,331.0,35,9.457142857142857
40341,1,45.0,7,6.428571428571429
40342,1,135.0,21,6.428571428571429
40343,1,774.0,38,20.36842105263158
40344,1,2.0,1,2.0
40346,1,6.0,4,1.5
40348,1,35.0,4,8.75
40349,1,283.0,17,16.647058823529413
40351,1,312.0,33,9.454545454545455
40352,1,184.0,34,5.411764705882353
40354,1,62.0,18,3.4444444444444446
40355,1,108.0,13,8.307692307692308
40356,1,510.0,25,20.4
40357,1,16.0,4,4.0
40358,1,26.0,10,2.6
40359,1,7.0,2,3.5
40360,1,12.0,3,4.0
40361,1,390.0,43,9.069767441860465
40362,1,154.0,18,8.555555555555555
40363,1,198.0,24,8.25
40365,1,4.0,2,2.0
40366,1,8.0,2,4.0
40367,1,2.0,1,2.0
40368,1,2.0,1,2.0
40369,1,79.0,12,6.583333333333333
40370,1,6.0,2,3.0
40371,1,70.0,16,4.375
40372,1,52.0,9,5.777777777777778
40373,1,27.0,5,5.4
40374,1,931.0,59,15.779661016949152
40375,1,175.0,18,9.722222222222221
40376,1,1.0,1,1.0
40377,1,59.0,4,14.75
40378,1,5.0,2,2.5
40379,1,20.0,4,5.0
40380,1,159.0,18,8.833333333333334
40381,1,11.0,4,2.75
40382,1,271.0,36,7.527777777777778
40383,1,1.0,1,1.0
40384,1,242.0,22,11.0
40385,1,120.0,19,6.315789473684211
40386,1,620.0,49,12.653061224489797
40387,1,80.0,16,5.0
40389,1,223.0,15,14.866666666666667
40390,1,63.0,14,4.5
40391,1,31.0,10,3.1
40392,1,62.0,15,4.133333333333334
40393,1,28.0,5,5.6
40394,1,256.0,37,6.918918918918919
40395,1,117.0,17,6.882352941176471
40396,1,555.0,32,17.34375
40397,1,47.0,6,7.833333333333333
40398,1,527.0,35,15.057142857142857
40399,1,89.0,25,3.56
40400,1,177.0,22,8.045454545454545
40401,1,342.0,44,7.7727272727272725
40402,1,20.0,6,3.3333333333333335
40404,1,194.0,33,5.878787878787879
40405,1,2.0,2,1.0
40406,1,219.0,26,8.423076923076923
40407,1,49.0,15,3.2666666666666666
40408,1,10.0,3,3.3333333333333335
40409,1,489.0,46,10.630434782608695
40410,1,24.0,6,4.0
40411,1,7.0,2,3.5
40412,1,123.0,28,4.392857142857143
40414,1,60.0,11,5.454545454545454
40415,1,30.0,5,6.0
40416,1,21.0,5,4.2
40417,1,4.0,2,2.0
40418,1,51.0,5,10.2
40419,1,67.0,14,4.785714285714286
40420,1,4.0,1,4.0
40421,1,83.0,16,5.1875
40422,1,51.0,9,5.666666666666667
40423,1,412.0,56,7.357142857142857
40424,1,22.0,4,5.5
40425,1,64.0,16,4.0
40426,1,197.0,16,12.3125
40427,1,121.0,9,13.444444444444445
40428,1,38.0,5,7.6
40429,1,189.0,9,21.0
40430,1,128.0,32,4.0
40431,1,25.0,8,3.125
40433,1,52.0,6,8.666666666666666
40434,1,181.0,32,5.65625
40435,1,54.0,13,4.153846153846154
40436,1,132.0,11,12.0
40437,1,290.0,20,14.5
40438,1,81.0,16,5.0625
40439,1,5.0,1,5.0
40440,1,9.0,2,4.5
40441,1,85.0,7,12.142857142857142
40442,1,16.0,6,2.6666666666666665
40443,1,32.0,9,3.5555555555555554
40444,1,84.0,14,6.0
40445,1,15.0,4,3.75
40446,1,39.0,11,3.5454545454545454
40447,1,156.0,32,4.875
40448,1,49.0,8,6.125
40449,1,267.0,30,8.9
40451,1,13.0,4,3.25
40452,1,133.0,28,4.75
40453,1,753.0,56,13.446428571428571
40454,1,67.0,16,4.1875
40455,1,54.0,13,4.153846153846154
40456,1,46.0,7,6.571428571428571
40457,1,15.0,6,2.5
40458,1,462.0,41,11.268292682926829
40459,1,626.0,39,16.05128205128205
40460,1,203.0,25,8.12
40463,1,122.0,18,6.777777777777778
40464,1,330.0,35,9.428571428571429
40465,1,13.0,2,6.5
40466,1,117.0,17,6.882352941176471
40467,1,487.0,45,10.822222222222223
40469,1,113.0,19,5.947368421052632
40470,1,23.0,9,2.5555555555555554
40471,1,45.0,12,3.75
40473,1,29.0,6,4.833333333333333
40474,1,295.0,41,7.195121951219512
40475,1,19.0,2,9.5
40476,1,304.0,26,11.692307692307692
40477,1,325.0,32,10.15625
40478,1,10.0,4,2.5
40479,1,177.0,14,12.642857142857142
40480,1,261.0,25,10.44
40481,1,137.0,21,6.523809523809524
40482,1,9.0,2,4.5
40483,1,20.0,3,6.666666666666667
40484,1,147.0,27,5.444444444444445
40485,1,351.0,19,18.473684210526315
40486,1,105.0,10,10.5
40487,1,82.0,15,5.466666666666667
40488,1,275.0,41,6.7073170731707314
40489,1,44.0,9,4.888888888888889
40490,1,252.0,35,7.2
40491,1,3.0,1,3.0
40492,1,145.0,33,4.393939393939394
40493,1,68.0,16,4.25
40494,1,63.0,10,6.3
40495,1,228.0,18,12.666666666666666
40496,1,259.0,37,7.0
40498,1,33.0,5,6.6
40499,1,731.0,31,23.580645161290324
40500,1,983.0,47,20.914893617021278
40501,1,75.0,16,4.6875
40502,1,74.0,12,6.166666666666667
40503,1,445.0,44,10.113636363636363
40504,1,714.0,41,17.414634146341463
40505,1,5.0,1,5.0
40506,1,200.0,18,11.11111111111111
40508,1,12.0,2,6.0
40509,1,8.0,3,2.6666666666666665
40510,1,68.0,17,4.0
40511,1,196.0,21,9.333333333333334
40512,1,335.0,21,15.952380952380953
40514,1,18.0,10,1.8
40515,1,817.0,47,17.382978723404257
40516,1,77.0,8,9.625
40517,1,40.0,4,10.0
40518,1,93.0,22,4.2272727272727275
40519,1,427.0,37,11.54054054054054
40520,1,31.0,12,2.5833333333333335
40521,1,208.0,39,5.333333333333333
40522,1,26.0,8,3.25
40523,1,139.0,20,6.95
40524,1,45.0,4,11.25
40525,1,5.0,3,1.6666666666666667
40526,1,18.0,3,6.0
40528,1,16.0,3,5.333333333333333
40529,1,122.0,6,20.333333333333332
40530,1,384.0,29,13.241379310344827
40531,1,83.0,19,4.368421052631579
40532,1,47.0,7,6.714285714285714
40533,1,18.0,2,9.0
40535,1,6.0,1,6.0
40536,1,177.0,19,9.31578947368421
40539,1,56.0,12,4.666666666666667
40541,1,363.0,47,7.723404255319149
40542,1,56.0,9,6.222222222222222
40543,1,106.0,16,6.625
40544,1,170.0,31,5.483870967741935
40545,1,15.0,6,2.5
40546,1,36.0,8,4.5
40547,1,151.0,30,5.033333333333333
40548,1,20.0,6,3.3333333333333335
40549,1,71.0,12,5.916666666666667
40550,1,21.0,5,4.2
40551,1,24.0,5,4.8
40552,1,140.0,19,7.368421052631579
40553,1,7.0,2,3.5
40554,1,15.0,2,7.5
40555,1,238.0,39,6.102564102564102
40556,1,23.0,7,3.2857142857142856
40557,1,35.0,8,4.375
40558,1,316.0,44,7.181818181818182
40559,1,17.0,2,8.5
40560,1,74.0,8,9.25
40561,1,102.0,20,5.1
40562,1,638.0,34,18.764705882352942
40563,1,183.0,21,8.714285714285714
40564,1,32.0,7,4.571428571428571
40565,1,208.0,20,10.4
40566,1,54.0,8,6.75
40567,1,28.0,8,3.5
40568,1,239.0,24,9.958333333333334
40570,1,37.0,6,6.166666666666667
40571,1,43.0,9,4.777777777777778
40572,1,255.0,13,19.615384615384617
40573,1,233.0,50,4.66
40574,1,49.0,9,5.444444444444445
40575,1,21.0,6,3.5
40576,1,127.0,33,3.8484848484848486
40577,1,42.0,8,5.25
40578,1,27.0,2,13.5
40579,1,140.0,18,7.777777777777778
40580,1,597.0,63,9.476190476190476
40581,1,124.0,14,8.857142857142858
40582,1,2.0,1,2.0
40583,1,7.0,4,1.75
40584,1,73.0,17,4.294117647058823
40585,1,16.0,6,2.6666666666666665
40586,1,56.0,16,3.5
40588,1,153.0,18,8.5
40589,1,8.0,3,2.6666666666666665
40590,1,79.0,13,6.076923076923077
40591,1,19.0,3,6.333333333333333
40592,1,8.0,3,2.6666666666666665
40593,1,3.0,1,3.0
40594,1,141.0,28,5.035714285714286
40595,1,173.0,20,8.65
40596,1,201.0,23,8.73913043478261
40597,1,25.0,3,8.333333333333334
40598,1,31.0,4,7.75
40599,1,18.0,4,4.5
40600,1,163.0,29,5.620689655172414
40601,1,226.0,37,6.108108108108108
40602,1,149.0,17,8.764705882352942
40603,1,117.0,29,4.0344827586206895
40604,1,15.0,3,5.0
40605,1,63.0,12,5.25
40606,1,1.0,1,1.0
40607,1,19.0,5,3.8
40608,1,1021.0,73,13.986301369863014
40609,1,500.0,46,10.869565217391305
40610,1,295.0,41,7.195121951219512
40611,1,7.0,2,3.5
40612,1,45.0,3,15.0
40613,1,31.0,10,3.1
40614,1,104.0,17,6.117647058823529
40615,1,83.0,9,9.222222222222221
40616,1,46.0,12,3.8333333333333335
40618,1,5.0,1,5.0
40619,1,355.0,34,10.441176470588236
40620,1,380.0,41,9.268292682926829
40621,1,22.0,1,22.0
40622,1,4.0,1,4.0
40623,1,20.0,5,4.0
40624,1,362.0,45,8.044444444444444
40625,1,4.0,1,4.0
40626,1,363.0,35,10.371428571428572
40627,1,48.0,10,4.8
40629,1,278.0,21,13.238095238095237
40630,1,146.0,15,9.733333333333333
40631,1,324.0,43,7.534883720930233
40632,1,80.0,11,7.2727272727272725
40633,1,109.0,27,4.037037037037037
40634,1,41.0,12,3.4166666666666665
40635,1,55.0,6,9.166666666666666
40636,1,24.0,9,2.6666666666666665
40637,1,32.0,6,5.333333333333333
40638,1,99.0,31,3.193548387096774
40639,1,95.0,9,10.555555555555555
40640,1,10.0,3,3.3333333333333335
40641,1,153.0,19,8.052631578947368
40642,1,16.0,8,2.0
40643,1,17.0,5,3.4
40645,1,178.0,20,8.9
40646,1,354.0,25,14.16
40647,1,3.0,1,3.0
40648,1,34.0,5,6.8
40649,1,10.0,4,2.5
40650,1,597.0,61,9.78688524590164
40651,1,114.0,21,5.428571428571429
40652,1,35.0,7,5.0
40653,1,236.0,33,7.151515151515151
40654,1,3.0,3,1.0
