uid,active_mins,dt,avg_active_mins
0,70.0,21,3.3333333333333335
1,245.0,11,22.272727272727273
2,37.0,10,3.7
3,69.0,18,3.8333333333333335
4,66.0,28,2.357142857142857
5,21.0,5,4.2
6,12.0,6,2.0
7,34.0,9,3.7777777777777777
8,17.0,2,8.5
9,52.0,17,3.0588235294117645
10,74.0,17,4.352941176470588
11,96.0,29,3.310344827586207
13,29.0,13,2.230769230769231
14,15.0,6,2.5
15,834.0,83,10.048192771084338
16,9.0,4,2.25
17,105.0,15,7.0
18,33.0,8,4.125
19,153.0,33,4.636363636363637
20,127.0,31,4.096774193548387
21,25.0,11,2.272727272727273
22,10.0,2,5.0
23,61.0,17,3.588235294117647
24,31.0,10,3.1
25,173.0,20,8.65
26,17.0,2,8.5
27,35.0,12,2.9166666666666665
28,64.0,10,6.4
29,928.0,50,18.56
30,190.0,26,7.3076923076923075
31,74.0,22,3.3636363636363638
32,68.0,18,3.7777777777777777
33,25.0,12,2.0833333333333335
34,79.0,9,8.777777777777779
35,3.0,2,1.5
36,127.0,17,7.470588235294118
37,29.0,13,2.230769230769231
38,293.0,29,10.10344827586207
39,436.0,68,6.411764705882353
40,5.0,3,1.6666666666666667
41,112.0,26,4.3076923076923075
42,8.0,1,8.0
43,22.0,9,2.4444444444444446
44,81.0,19,4.2631578947368425
45,31.0,10,3.1
46,35.0,9,3.888888888888889
47,9.0,3,3.0
48,101.0,23,4.391304347826087
49,4.0,4,1.0
50,428.0,69,6.202898550724638
51,120.0,25,4.8
52,886.0,81,10.938271604938272
53,17.0,10,1.7
54,27.0,15,1.8
55,16.0,7,2.2857142857142856
56,52.0,15,3.466666666666667
57,31.0,11,2.8181818181818183
58,401.0,61,6.573770491803279
59,50.0,20,2.5
60,300.0,52,5.769230769230769
61,28.0,6,4.666666666666667
62,270.0,54,5.0
63,30.0,18,1.6666666666666667
64,10.0,4,2.5
65,470.0,52,9.038461538461538
66,7.0,3,2.3333333333333335
67,81.0,28,2.892857142857143
68,6.0,3,2.0
69,1108.0,62,17.870967741935484
70,22.0,8,2.75
71,76.0,26,2.923076923076923
72,23.0,9,2.5555555555555554
73,624.0,45,13.866666666666667
74,54.0,20,2.7
75,88.0,28,3.142857142857143
76,14.0,6,2.3333333333333335
77,14.0,6,2.3333333333333335
79,11.0,4,2.75
80,276.0,38,7.2631578947368425
81,3.0,1,3.0
82,18.0,6,3.0
83,24.0,11,2.1818181818181817
84,430.0,60,7.166666666666667
85,4.0,2,2.0
86,306.0,46,6.6521739130434785
87,15.0,8,1.875
88,20.0,4,5.0
89,548.0,65,8.430769230769231
90,12.0,6,2.0
91,23.0,7,3.2857142857142856
92,42.0,17,2.4705882352941178
93,12.0,4,3.0
94,3.0,1,3.0
95,25.0,5,5.0
96,303.0,46,6.586956521739131
97,49.0,19,2.5789473684210527
98,14.0,4,3.5
99,350.0,57,6.140350877192983
100,46.0,15,3.066666666666667
101,749.0,62,12.080645161290322
102,24.0,7,3.4285714285714284
103,508.0,81,6.271604938271605
104,3.0,1,3.0
105,19.0,9,2.111111111111111
106,241.0,70,3.442857142857143
107,94.0,21,4.476190476190476
108,35.0,14,2.5
109,157.0,37,4.243243243243243
110,27.0,11,2.4545454545454546
111,4.0,1,4.0
112,222.0,42,5.285714285714286
113,3.0,2,1.5
114,9.0,6,1.5
115,70.0,12,5.833333333333333
116,36.0,14,2.5714285714285716
117,12.0,7,1.7142857142857142
118,8.0,4,2.0
119,234.0,37,6.324324324324325
120,184.0,23,8.0
121,102.0,31,3.2903225806451615
122,14.0,4,3.5
123,197.0,8,24.625
124,78.0,19,4.105263157894737
125,35.0,9,3.888888888888889
126,5.0,1,5.0
127,42.0,16,2.625
128,95.0,5,19.0
129,33.0,9,3.6666666666666665
130,83.0,21,3.9523809523809526
131,15.0,4,3.75
132,9.0,2,4.5
133,1.0,1,1.0
134,180.0,34,5.294117647058823
135,1.0,1,1.0
136,111.0,32,3.46875
137,2.0,1,2.0
138,10.0,3,3.3333333333333335
139,215.0,49,4.387755102040816
140,40.0,11,3.6363636363636362
141,124.0,28,4.428571428571429
142,141.0,39,3.6153846153846154
143,9.0,2,4.5
144,141.0,11,12.818181818181818
145,5.0,2,2.5
146,654.0,47,13.914893617021276
